stars,text,clean_text,sentences,lemm_sentences
5,"Sigue siendo un buen lugar, con parqueo, seguridad, excelente atención tanto para socios como invitados, precios muy accesibles y comida aceptable para ser un club, lo han mejorado muchísimo en cuanto a infraestructura en los últimos","sigue siendo un buen lugar, con parqueo, seguridad, excelente atencion tanto para socios como invitados, precios muy accesibles y comida aceptable para ser un club, lo han mejorado muchisimo en cuanto a infraestructura en los ultimos",['sigue siendo un buen lugar con parqueo seguridad excelente atencion tanto para socios como invitados precios muy accesibles y comida aceptable para ser un club lo han mejorado muchisimo en cuanto a infraestructura en los ultimos'],['seguir ser uno buen lugar con parqueo seguridad excelente atencion tanto para socio como invitado precio mucho accesibl y comida aceptable para ser uno club él haber mejorar muchisimo en cuanto a infraestructura en el ultimo']
4,"Muy buena comida, bonito ambiente, lugar familiar con bastantes actividades recreativas y salones sociales para eventos","muy buena comida, bonito ambiente, lugar familiar con bastantes actividades recreativas y salones sociales para eventos",['muy buena comida bonito ambiente lugar familiar con bastantes actividades recreativas y salones sociales para eventos'],['mucho buen comida bonito ambiente lugar familiar con bastante actividad recreativa y salón social para evento']
5,Me encanta el lugar es demasiado fresco y sumamente prestigiado y de muy pero muy buena categoría qué lo recomiendo al 100%,me encanta el lugar es demasiado fresco y sumamente prestigiado y de muy pero muy buena categoria que lo recomiendo al 100%,['me encanta el lugar es demasiado fresco y sumamente prestigiado y de muy pero muy buena categoria que lo recomiendo al 100'],['yo encantar el lugar ser demasiado fresco y sumamente prestigiado y de mucho pero mucho buen categoria que él recomeir al']
4,Buen restaurante. Debe mejorar el servicio de atención de los guardias de seguridad.,buen restaurante. debe mejorar el servicio de atencion de los guardias de seguridad.,"['buen restaurante', 'debe mejorar el servicio de atencion de los guardias de seguridad']","['buen restaurante', 'deber mejorar el servicio de atencion de el guardia de seguridad']"
5,"Nos atendieron muy bien, la comida deliciosa y se ve que estan remodelando las instalaciones, tienen medidas de higienr bien establecidas y distanciamiento social 🍽☕🍷🧀😍…","nos atendieron muy bien, la comida deliciosa y se ve que estan remodelando las instalaciones, tienen medidas de higienr bien establecidas y distanciamiento social 🍽☕🍷🧀😍…",['nos atendieron muy bien la comida deliciosa y se ve que estan remodelando las instalaciones tienen medidas de higienr bien establecidas y distanciamiento social '],['yo atender mucho bien el comida deliciós y él ver que estar remodelar el instalación tener medida de higienr bien establecido y distanciamiento social']
5,"Un excelente lugar donde encuentras diferentes tipos de actividad. Ideal para compartir en familia o con amigos y con horarios accesibles, además encuentras una amplia variedad de comida para niños y adultos. Podrás escoger entre platillos españoles y de todo tipo. Cuenta con diferentes áreas para tu entretenimiento y dos restaurantes a tu elección y con área de piscinas para niños y adultos. En ésta temporada del mundial se pone buenísimo el ambiente así que los invito a que puedan acercarse y poder pasar un buen momento en este lugar!","un excelente lugar donde encuentras diferentes tipos de actividad. ideal para compartir en familia o con amigos y con horarios accesibles, ademas encuentras una amplia variedad de comida para ninios y adultos. podras escoger entre platillos espanioles y de todo tipo. cuenta con diferentes areas para tu entretenimiento y dos restaurantes a tu eleccion y con area de piscinas para ninios y adultos. en esta temporada del mundial se pone buenisimo el ambiente asi que los invito a que puedan acercarse y poder pasar un buen momento en este lugar!","['un excelente lugar donde encuentras diferentes tipos de actividad', 'ideal para compartir en familia o con amigos y con horarios accesibles ademas encuentras una amplia variedad de comida para ninios y adultos', 'podras escoger entre platillos espanioles y de todo tipo', 'cuenta con diferentes areas para tu entretenimiento y dos restaurantes a tu eleccion y con area de piscinas para ninios y adultos', 'en esta temporada del mundial se pone buenisimo el ambiente asi que los invito a que puedan acercarse y poder pasar un buen momento en este lugar']","['uno excelente lugar donde encuentra diferente tipo de actividad', 'ideal para compartir en familia o con amigo y con horario accesibl adema encuentra uno amplio variedad de comida para ninio y adulto', 'podra escoger entre platillo espaniol y de todo tipo', 'contar con diferente area para tu entretenimiento y dos restaurante a tu eleccion y con area de piscina para ninio y adulto', 'en este temporada del mundial él poner buenisimo el ambiente asi que el invitar a que poder acercar él y poder pasar uno buen momento en este lugar']"
5,"Excelente servicios, cuenta con bonitas instalaciones. Para celebrar cualquier tipo de evento. Pertenece a la Beneficencia Española.","excelente servicios, cuenta con bonitas instalaciones. para celebrar cualquier tipo de evento. pertenece a la beneficencia espaniola.","['excelente servicios cuenta con bonitas instalaciones', 'para celebrar cualquier tipo de evento', 'pertenece a la beneficencia espaniola']","['excelente servicio contar con bonita instalación', 'para celebrar cualquiera tipo de evento', 'pertenecer a el beneficencia espaniolo']"
4,"Buen servicio, deberían variar sus platillos, pero por lo demás, muy bien","buen servicio, deberian variar sus platillos, pero por lo demas, muy bien",['buen servicio deberian variar sus platillos pero por lo demas muy bien'],['buen servicio deberiar variar su platillo pero por él dema mucho bien']
5,Un lugar muy bonito me encanta la comida y la promo 2x1,un lugar muy bonito me encanta la comida y la promo 2x1,['un lugar muy bonito me encanta la comida y la promo 2x1'],['uno lugar mucho bonito yo encantar el comida y el promo']
4,"Tuvimos la celebración de los 90 años de mi suegra y estuvo súper, los meseros muy atentos en todas las mesas. Sólo el fillet mignon me pareció muy crudo. Y en los servicios del salón no hay un baño apropiado para doña de ruedas.","tuvimos la celebracion de los 90 anios de mi suegra y estuvo super, los meseros muy atentos en todas las mesas. solo el fillet mignon me parecio muy crudo. y en los servicios del salon no hay un banio apropiado para donia de ruedas.","['tuvimos la celebracion de los 90 anios de mi suegra y estuvo super los meseros muy atentos en todas las mesas', 'solo el fillet mignon me parecio muy crudo', 'y en los servicios del salon no hay un banio apropiado para donia de ruedas']","['tener el celebracion de el anio de mi suegra y estar super el mesero mucho atento en todo el mesa', 'solo el fillet mignon yo parecer mucho crudo', 'y en el servicio del salon no haber uno banio apropiado para donia de rueda']"
